customer_id,customer_name,customer_type,industry,country,city,email,phone
1,Target-Memphis,SME,Retail,United States,Memphis,contact1@target.com,+10433218196
2,Target-New York,Corporate,Retail,United States,New York,contact2@target.com,+00133890838
3,FedEx-New York,Corporate,Logistics,United States,New York,contact3@fedex.com,+63794026542
4,Reliance Retail-Chennai,Corporate,Retail,India,Chennai,contact4@relianceretail.com,+35116155940
5,UPS-Los Angeles,Enterprise,Logistics,United States,Los Angeles,contact5@ups.com,+78161849593
6,Lenovo-Beijing,SME,Electronics,China,Beijing,contact6@lenovo.com,+10341316475
7,Lenovo-Beijing,Enterprise,Electronics,China,Beijing,contact7@lenovo.com,+25534192832
8,3M-Los Angeles,Enterprise,Manufacturing,United States,Los Angeles,contact8@3m.com,+76483503056
9,Audi-Frankfurt,Corporate,Automotive,Germany,Frankfurt,contact9@audi.com,+41395376724
10,Nikon-Tokyo,SME,Electronics,Japan,Tokyo,contact10@nikon.com,+23884969653
11,Sony-Tokyo,SME,Electronics,Japan,Tokyo,contact11@sony.com,+28710122691
12,Siemens-Frankfurt,Enterprise,Manufacturing,Germany,Frankfurt,contact12@siemens.com,+66978480184
13,FedEx-Chicago,Enterprise,Logistics,United States,Chicago,contact13@fedex.com,+51462704828
14,BMW-Frankfurt,Enterprise,Automotive,Germany,Frankfurt,contact14@bmw.com,+14893252880
15,Samsung Electronics-Seoul,Corporate,Electronics,South Korea,Seoul,contact15@samsungelectronics.com,+95701543039
16,Mitsubishi Heavy Industries-Tokyo,Enterprise,Manufacturing,Japan,Tokyo,contact16@mitsubishiheavyindustries.com,+11718227824
17,Sony-Tokyo,Enterprise,Electronics,Japan,Tokyo,contact17@sony.com,+89638346578
18,Ford-Chicago,SME,Automotive,United States,Chicago,contact18@ford.com,+71331509839
19,HP Inc.-New York,SME,Electronics,United States,New York,contact19@hpinc.com,+30103105183
20,Expeditors-New York,SME,Logistics,United States,New York,contact20@expeditors.com,+47382997376
21,Lenovo-Beijing,Corporate,Electronics,China,Beijing,contact21@lenovo.com,+31165667010
22,Target-New York,SME,Retail,United States,New York,contact22@target.com,+65133387262
23,Siemens-Frankfurt,Enterprise,Manufacturing,Germany,Frankfurt,contact23@siemens.com,+47317810801
24,Reliance Retail-Mumbai,Corporate,Retail,India,Mumbai,contact24@relianceretail.com,+32677360260
25,Honeywell-Chicago,Corporate,Manufacturing,United States,Chicago,contact25@honeywell.com,+64746872343
26,Mitsubishi Heavy Industries-Tokyo,Corporate,Manufacturing,Japan,Tokyo,contact26@mitsubishiheavyindustries.com,+09805009788
27,Cisco-Los Angeles,SME,Electronics,United States,Los Angeles,contact27@cisco.com,+20812191361
28,ABB-Zurich,SME,Manufacturing,Switzerland,Zurich,contact28@abb.com,+93990916998
29,NVIDIA-New York,SME,Electronics,United States,New York,contact29@nvidia.com,+54353462475
30,Honeywell-New York,SME,Manufacturing,United States,New York,contact30@honeywell.com,+10799118384
31,Xiaomi-Hong Kong,SME,Electronics,China,Hong Kong,contact31@xiaomi.com,+25135427849
32,Nippon Express-Tokyo,Corporate,Logistics,Japan,Tokyo,contact32@nipponexpress.com,+80841241182
33,Xiaomi-Hong Kong,Enterprise,Electronics,China,Hong Kong,contact33@xiaomi.com,+44935348740
34,Huawei-Shanghai,SME,Electronics,China,Shanghai,contact34@huawei.com,+16400524278
35,UPS-New York,SME,Logistics,United States,New York,contact35@ups.com,+68011280598
36,Nippon Express-Tokyo,Enterprise,Logistics,Japan,Tokyo,contact36@nipponexpress.com,+26204505331
